Entity,Code,Year,Total deaths - Drought,Total deaths - Flood,Total deaths - Earthquake,Total deaths - Extreme weather,Total deaths - Extreme temperature,Total deaths - Volcanic activity,Total deaths - Landslide,Total deaths - Wildfire,Total deaths - Glacial lake outburst,Total deaths - Dry mass movement,Total deaths - Fog
Bangladesh,BGD,2009,0,16,,197,135,,,,,,
Bangladesh,BGD,1993,,194,,452,,,,,,,
Bangladesh,BGD,1994,,116,,205,29,,,,,,
Bangladesh,BGD,1995,,741,,753,120,,,,,,
Bangladesh,BGD,1996,,55,,626,200,,,,,,
Bangladesh,BGD,1997,,79,23,425,33,,,,,,
Bangladesh,BGD,1998,,1050,,321,120,,,,,,
Bangladesh,BGD,1999,,196,6,128,,,,,,,
Bangladesh,BGD,2000,,43,0,99,49,,,,,,
Bangladesh,BGD,2001,,9,,238,6,,,,,,
Bangladesh,BGD,2002,,10,,122,700,,,,,,
Bangladesh,BGD,2003,,252,2,60,215,,,,,,
Bangladesh,BGD,2004,,761,2,239,,,,,,,
Bangladesh,BGD,2005,,55,,177,100,,,,,,
Bangladesh,BGD,2006,,0,,154,,,,,,,
Bangladesh,BGD,2007,,1230,,4275,130,,,,,,
Bangladesh,BGD,2008,,28,,27,,,13,,,,
Bangladesh,BGD,2010,,15,,26,,,66,,,,
Bangladesh,BGD,2011,,10,,13,62,,17,,,,
Bangladesh,BGD,2012,,139,,133,72,,,,,,
Bangladesh,BGD,2014,,59,,20,,,,,,,
Bangladesh,BGD,2015,,31,4,117,,,7,,,,
Bangladesh,BGD,2016,,106,5,87,,,,,,,
Bangladesh,BGD,2017,,144,,19,,,160,,,,
Bangladesh,BGD,2018,,35,,33,34,,,,,,
Bangladesh,BGD,2019,,114,,94,50,,2,,,,
Bangladesh,BGD,2020,,257,,26,,,,,,,
Bangladesh,BGD,2021,,21,,3,,,,,,,
Bangladesh,BGD,2022,,141,,35,,,,,,,
Bangladesh,BGD,2013,,,,50,,,,,,,
Bangladesh,BGD,2023,,,,13,,,,,,,